Problem;Rationale;category;correct;id;options
a jar contains 6 black and 2 white balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?;"""p ( 1 st black , 2 nd white ) = 6 / 8 * 2 / 7 = 12 / 56 ; p ( 1 st white , 2 nd black ) = 2 / 8 * 6 / 7 = 12 / 56 . p = 12 / 56 + 12 / 56 = 24 / 112 = 12 / 56 = 6 / 28 = 3 / 14 . answer : e .""";probability;e;28510;a ) 2 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 15 , e ) 3 / 14
a box contains 24 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is;"""solution p ( none is defective ) = 20 c 2 / 24 c 2 = 53 / 77 . p ( at least one is defective ) = ( 1 - 53 / 77 ) = 24 / 77 . answer d""";probability;d;30101;a ) 4 / 19 , b ) 7 / 19 , c ) 12 / 19 , d ) 24 / 77 , e ) none
there are two bags a and b . a contains 6 red flowers and 3 pink flowers . where as bag b contains 2 red flowers and 7 pink flowers . one flower is chosen from a bag randomly . what is the probability that the flower chosen is pink ?;bag a 6 red + 3 pink bag b 2 red + 7 pink probability of picking 1 pink from bag a is 3 / 9 probability of picking 1 pink from bag b is 7 / 9 total = 3 / 9 + 7 / 9 = 10 / 9 and probability of selecting a bag is 1 / 2 so finally probability of choosing a pink flower = 1 / 2 ( 10 / 9 ) = 5 / 9 answer : d;probability;d;34794;a ) 5 / 8 , b ) 5 / 6 , c ) 5 / 1 , d ) 5 / 9 , e ) 5 / 2
what is the probability of getting a number less than 4 when a die is rolled ?;"""total number of outcomes possible when a die is rolled = 6 ( ∵ any one face out of the 6 faces ) i . e . , n ( s ) = 6 e = getting a number less than 4 = { 1 , 2 , 3 } hence , n ( e ) = 3 the probability = 3 / 6 = 1 / 2 . answer : b""";probability;b;34719;a ) 5 / 5 , b ) 1 / 2 , c ) 5 / 1 , d ) 5 / 7 , e ) 5 / 2
in a bag containing 3 balls , a white ball was placed and then 1 ball was taken out at random . what is the probability that the extracted ball would turn on to be white , if all possible hypothesis concerning the color of theballs that initiallyin the bag were equally possible ?;"""since , all possible hypothesis regarding the colour of the balls are equally likely , therefore these could be 3 white balls , initially in the bag . ∴ required probability = 1 / 4 [ 1 + 3 / 4 + 1 / 2 + 1 / 4 ] = 1 / 4 [ ( 4 + 3 + 2 + 1 ) / 4 ] = 5 / 8 b""";probability;b;24502;a ) 2 / 3 , b ) 5 / 8 , c ) 5 / 9 , d ) 3 / 7 , e ) 4 / 7
a player holds 13 cards of 4 suits , of which 7 are black and 6 are red . there are twice as many diamonds as spades and twice as many hearts as diamonds . how many clubs does he hold;"explanation : clearly , the black cards are either clubs or spades while the red cards are either diamonds or hearts . let the number of spades be x . then , number of clubs = ( 7 - x ) . number of diamonds = 2 x number of spades = 2 x ; number of hearts = 2 x number of diamonds = 4 x . total number of cards = x + 2 x + 4 x + 7 - x = 6 x + 7 . therefore 6 x + 7 = 13 6 x = 6 x - 1 . hence , number of clubs = ( 7 - x ) = 6 . answer : c";probability;c;36789;a ) 4 , b ) 5 , c ) 6 , d ) 7 , e ) 8
4 dice are thrown simultaneously on the board . find the probability show the same face .;"""the total number of elementary events associated to the random experiments of throwing four dice simultaneously is : = 6 × 6 × 6 × 6 = 64 = 6 × 6 × 6 × 6 = 64 n ( s ) = 64 n ( s ) = 64 let xx be the event that all dice show the same face . x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } n ( x ) = 6 n ( x ) = 6 hence required probability , = n ( x ) n ( s ) = 664 = n ( x ) n ( s ) = 664 = 1 / 216 c""";probability;c;43010;a ) 1 / 213 , b ) 1 / 215 , c ) 1 / 216 , d ) 2 / 113 , e ) 3 / 114
x , y , and z are all unique numbers . if x is chosen randomly from the set { 9 , 10 , 11 } and y and z are chosen randomly from the set { 20 , 21 , 22 , 23 } , what is the probability that x and y are prime and z is not ?;"""p ( x is prime ) = 1 / 3 p ( y is prime ) = 1 / 4 if y is prime , then z is not prime since y and z are unique . then the probability is 1 / 3 * 1 / 4 = 1 / 12 the answer is b .""";probability;b;16854;a ) 1 / 20 , b ) 1 / 12 , c ) 2 / 15 , d ) 3 / 10 , e ) 1 / 7
if g is to be chosen at random from the set { 5,8 , 7,1 } and k is to be chosen at random from the set { 14 , 8,3 } , what is the probability that gk will be even ?;method - 1 gk will be even when 1 ) g is even and k is odd , probability of g even is ( 1 / 4 ) and probability of k odd is ( 1 / 3 ) , so probability of case ( 1 ) = ( 1 / 4 ) * ( 1 / 3 ) = ( 1 / 12 ) 2 ) g is odd and k is even , probability of g odd is ( 3 / 4 ) and probability of k even is ( 2 / 3 ) , so probability of case ( 2 ) = ( 3 / 4 ) * ( 2 / 3 ) = ( 6 / 12 ) 3 ) g is even and k is even , probability of g even is ( 1 / 4 ) and probability of k even is ( 2 / 3 ) , so probability of case ( 1 ) = ( 1 / 4 ) * ( 2 / 3 ) = ( 2 / 12 ) total favorable probability = ( 1 / 12 ) + ( 6 / 12 ) + ( 2 / 12 ) = ( 12 / 12 ) = 1 answer : option a;probability;a;22514;a ) 1 , b ) 5 , c ) 8 , d ) 4 , e ) 3
a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability z that out of the two , one is white and one is blue ?;"""the required probability z = probability of choosing 6 balls out of the total 8 in such a way that we remove 4 out of 5 white and 2 out of 3 blue balls . ways to select 6 out of total 8 = 8 c 6 ways to select 4 out of 5 white balls = 5 c 4 ways to select 2 out of 3 blue balls = 3 c 2 thus the required probability = ( 5 c 4 * 3 c 2 ) / 8 c 6 = 15 / 28 . d is thus the correct answer .""";probability;d;40002;a ) 15 / 56 , b ) 41 / 56 , c ) 13 / 28 , d ) 15 / 28 , e ) 5 / 14
a fair coin is tossed 3 times . what is the probability of getting at least 2 tails ?;"""let ' s find the probability of 2 tails , 3 tails p ( ttt ) = ( ( 1 / 2 ) ^ 3 = 1 / 8 . p ( htt ) = ( 3 ! / 2 ! ) * ( 1 / 2 ) ^ 3 = 3 / 8 total probablity = 1 / 8 + 3 / 8 = 1 / 2 answer ( c )""";probability;c;33515;a ) 3 / 4 , b ) 3 / 2 , c ) 1 / 2 , d ) 3 / 4 , e ) 1 / 4
a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability z that the first ball picked up is odd numbered ?;"""answer - d selecting the balls either even or odd is having probability 50 / 100 = 1 / 2 we have already selected 3 balls with 2 odd numbers and 1 even number . so we have 3 combinations ooe , oeo , eoo . we have 3 outcomes and 2 are favourable as in 2 cases 1 st number is odd . so probability z is 2 / 3 . d""";probability;d;37641;a ) 0 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 1
